zipcode,city,zip_median_income
27706,"Durham, North Carolina",127873
27614,"Raleigh, North Carolina",106022
28277,"Charlotte, North Carolina",86713
28207,"Charlotte, North Carolina",84232
28270,"Charlotte, North Carolina",76795
28031,"Cornelius, North Carolina",75161
27513,"Cary, North Carolina",72436
27502,"Apex, North Carolina",71885
28278,"Charlotte, North Carolina",71420
27615,"Raleigh, North Carolina",71166
27613,"Raleigh, North Carolina",71066
27310,"Oak Ridge, North Carolina",70699
28078,"Huntersville, North Carolina",70400
28036,"Davidson, North Carolina",70215
28226,"Charlotte, North Carolina",68636
27511,"Cary, North Carolina",68382
27282,"Jamestown, North Carolina",66956
28117,"Mooresville, North Carolina",65926
28104,"Matthews, North Carolina",65768
27712,"Durham, North Carolina",65400
27540,"Holly Springs, North Carolina",65375
28105,"Matthews, North Carolina",65111
28075,"Harrisburg, North Carolina",63609
28211,"Charlotte, North Carolina",62371
27560,"Morrisville, North Carolina",62056
28269,"Charlotte, North Carolina",61899
27358,"Summerfield, North Carolina",61538
28668,"Roaring Gap, North Carolina",61154
27927,"Corolla, North Carolina",60893
27012,"Clemmons, North Carolina",60765
27410,"Greensboro, North Carolina",60353
27023,"Lewisville, North Carolina",59579
28173,"Waxhaw, North Carolina",59337
28409,"Wilmington, North Carolina",59100
27040,"Pfafftown, North Carolina",58463
28745,"Lake Junaluska, North Carolina",58015
27562,"New Hill, North Carolina",57900
28374,"Pinehurst, North Carolina",57821
27713,"Durham, North Carolina",57755
28682,"Terrell, North Carolina",57212
27587,"Wake Forest, North Carolina",56832
27612,"Raleigh, North Carolina",56800
28273,"Charlotte, North Carolina",56437
27235,"Colfax, North Carolina",56071
28480,"Wrightsville Beach, North Carolina",55417
27503,"Bahama, North Carolina",55272
28079,"Indian Trail, North Carolina",54870
28774,"Sapphire, North Carolina",54250
27896,"Wilson, North Carolina",54150
27455,"Greensboro, North Carolina",54101
27265,"High Point, North Carolina",54051
27408,"Greensboro, North Carolina",53848
27607,"Raleigh, North Carolina",53438
27608,"Raleigh, North Carolina",53267
27949,"Kitty Hawk, North Carolina",53217
28594,"Emerald Isle, North Carolina",53125
27959,"Nags Head, North Carolina",53065
28589,"Williston, North Carolina",52697
27516,"Chapel Hill, North Carolina",52618
27104,"Winston Salem, North Carolina",52494
27520,"Clayton, North Carolina",52493
28411,"Wilmington, North Carolina",52332
28037,"Denver, North Carolina",52304
28210,"Charlotte, North Carolina",52286
27545,"Knightdale, North Carolina",51558
27006,"Advance, North Carolina",51467
28056,"Gastonia, North Carolina",51348
27616,"Raleigh, North Carolina",51334
28227,"Charlotte, North Carolina",51189
27572,"Rougemont, North Carolina",51136
28125,"Mount Ulla, North Carolina",50967
28660,"Olin, North Carolina",50887
27609,"Raleigh, North Carolina",50880
27529,"Garner, North Carolina",50701
28262,"Charlotte, North Carolina",50538
28027,"Concord, North Carolina",50424
27009,"Belews Creek, North Carolina",50345
28124,"Mount Pleasant, North Carolina",50337
27526,"Fuquay Varina, North Carolina",50234
27596,"Youngsville, North Carolina",50122
27929,"Currituck, North Carolina",49917
27284,"Kernersville, North Carolina",49711
27313,"Pleasant Garden, North Carolina",49569
28214,"Charlotte, North Carolina",49534
28765,"Penland, North Carolina",49531
27231,"Cedar Grove, North Carolina",49028
27283,"Julian, North Carolina",48785
28605,"Blowing Rock, North Carolina",48750
28107,"Midland, North Carolina",48701
27571,"Rolesville, North Carolina",48472
28520,"Cedar Island, North Carolina",47969
27357,"Stokesdale, North Carolina",47758
27312,"Pittsboro, North Carolina",47611
27604,"Raleigh, North Carolina",47421
28134,"Pineville, North Carolina",47091
27514,"Chapel Hill, North Carolina",47082
