State,absentee_ballots_sent_out,date
FL,4979000,8/28/20
MI,2514000,8/28/20
IL,1884000,8/28/20
PA,1823000,8/28/20
OH,1784000,8/28/20
GA,1287000,8/28/20
MN,1246000,8/28/20
WI,1147000,8/28/20
MD,1038000,8/28/20
NC,1028000,8/28/20
IA,571000,8/28/20
SC,309000,8/28/20
ME,196000,8/28/20
SD,124000,8/28/20
WV,85000,8/28/20
RI,72000,8/28/20
MS,14000,8/28/20
AL,73000,8/28/20
AZ,3071000,8/28/20
DE,103000,8/28/20
ID,325000,8/28/20
IN,369000,8/28/20
KY,394000,8/28/20
LA,169000,8/28/20
MD,1038000,8/28/20
NH,42000,8/28/20
NM,254000,8/28/20
OK,215000,8/28/20
VA,1046000,8/28/20
WY,13000,8/28/20
