JurisdictionName,F1a
ANDERSON COUNTY,16977.00
ANDREWS COUNTY,4943.00
ANGELINA COUNTY,29911.00
ARANSAS COUNTY,10512.00
ARCHER COUNTY,4283.00
ARMSTRONG COUNTY,1021.00
ATASCOSA COUNTY,13673.00
AUSTIN COUNTY,12274.00
BAILEY COUNTY,1793.00
BANDERA COUNTY,10218.00
BASTROP COUNTY,28454.00
BAYLOR COUNTY,1499.00
BEE COUNTY,8485.00
BELL COUNTY,94994.00
BEXAR COUNTY,589645.00
BLANCO COUNTY,5685.00
BORDEN COUNTY,365.00
BOSQUE COUNTY,7838.00
BOWIE COUNTY,34602.00
BRAZORIA COUNTY,121181.00
BRAZOS COUNTY,67211.00
BREWSTER COUNTY,4252.00
BRISCOE COUNTY,736.00
BROOKS COUNTY,2596.00
BROWN COUNTY,14026.00
BURLESON COUNTY,6960.00
BURNET COUNTY,19204.00
CALDWELL COUNTY,12092.00
CALHOUN COUNTY,6965.00
CALLAHAN COUNTY,5579.00
CAMERON COUNTY,92079.00
CAMP COUNTY,4542.00
CARSON COUNTY,2964.00
CASS COUNTY,12344.00
CASTRO COUNTY,1997.00
CHAMBERS COUNTY,16786.00
CHEROKEE COUNTY,16790.00
CHILDRESS COUNTY,2084.00
CLAY COUNTY,5018.00
COCHRAN COUNTY,901.00
COKE COUNTY,1423.00
COLEMAN COUNTY,3643.00
COLLIN COUNTY,361419.00
COLLINGSWORTH COUNTY,1156.00
COLORADO COUNTY,8513.00
COMAL COUNTY,62178.00
COMANCHE COUNTY,5237.00
CONCHO COUNTY,1068.00
COOKE COUNTY,15955.00
CORYELL COUNTY,18253.00
COTTLE COUNTY,612.00
CRANE COUNTY,1384.00
CROCKETT COUNTY,1395.00
CROSBY COUNTY,1728.00
CULBERSON COUNTY,767.00
DALLAM COUNTY,1544.00
DALLAS COUNTY,758973.00
DAWSON COUNTY,3563.00
DEAF SMITH COUNTY,4216.00
DELTA COUNTY,2281.00
DENTON COUNTY,298645.00
DEWITT COUNTY,6844.00
DICKENS COUNTY,909.00
DIMMIT COUNTY,3225.00
DONLEY COUNTY,1465.00
DUVAL COUNTY,4168.00
EASTLAND COUNTY,6963.00
ECTOR COUNTY,36530.00
EDWARDS COUNTY,1073.00
EL PASO COUNTY,63673.00
ELLIS COUNTY,214008.00
ERATH COUNTY,13893.00
FALLS COUNTY,5248.00
FANNIN COUNTY,12044.00
FAYETTE COUNTY,11174.00
FISHER COUNTY,1729.00
FLOYD COUNTY,1959.00
FOARD COUNTY,513.00
FORT BEND COUNTY,262066.00
FRANKLIN COUNTY,4380.00
FREESTONE COUNTY,7684.00
FRIO COUNTY,4400.00
GAINES COUNTY,4620.00
GALVESTON COUNTY,122903.00
GARZA COUNTY,1484.00
GILLESPIE COUNTY,13214.00
GLASSCOCK COUNTY,604.00
GOLIAD COUNTY,3708.00
GONZALES COUNTY,6334.00
GRAY COUNTY,7405.00
GRAYSON COUNTY,47416.00
GREGG COUNTY,41749.00
GRIMES COUNTY,9533.00
GUADALUPE COUNTY,57822.00
HALE COUNTY,8858.00
HALL COUNTY,1091.00
HAMILTON COUNTY,3620.00
HANSFORD COUNTY,1947.00
HARDEMAN COUNTY,1513.00
HARDIN COUNTY,22780.00
HARRIS COUNTY,1312112.00
HARRISON COUNTY,26548.00
HARTLEY COUNTY,1952.00
HASKELL COUNTY,1770.00
HAYS COUNTY,72164.00
HEMPHILL COUNTY,1695.00
HENDERSON COUNTY,30045.00
HIDALGO COUNTY,173437.00
HILL COUNTY,12970.00
HOCKLEY COUNTY,7311.00
HOOD COUNTY,26262.00
HOPKINS COUNTY,13538.00
HOUSTON COUNTY,8353.00
HOWARD COUNTY,8723.00
HUDSPETH COUNTY,871.00
HUNT COUNTY,31554.00
HUTCHINSON COUNTY,8155.00
IRION COUNTY,766.00
JACK COUNTY,3350.00
JACKSON COUNTY,5302.00
JASPER COUNTY,13419.00
JEFF DAVIS COUNTY,1191.00
JEFFERSON COUNTY,87618.00
JIM HOGG COUNTY,2119.00
JIM WELLS COUNTY,12379.00
JOHNSON COUNTY,57606.00
JONES COUNTY,5960.00
KARNES COUNTY,4198.00
KAUFMAN COUNTY,41265.00
KENDALL COUNTY,20120.00
KENEDY COUNTY,186.00
KENT COUNTY,434.00
KERR COUNTY,23297.00
KIMBLE COUNTY,1952.00
KING COUNTY,159.00
KINNEY COUNTY,1430.00
KLEBERG COUNTY,9512.00
KNOX COUNTY,1367.00
LA SALLE COUNTY,18611.00
LAMAR COUNTY,3995.00
LAMB COUNTY,8205.00
LAMPASAS COUNTY,2059.00
LAVACA COUNTY,8661.00
LEE COUNTY,6535.00
LEON COUNTY,7439.00
LIBERTY COUNTY,24267.00
LIMESTONE COUNTY,7739.00
LIPSCOMB COUNTY,1332.00
LIVE OAK COUNTY,4302.00
LLANO COUNTY,10447.00
LOVING COUNTY,65.00
LUBBOCK COUNTY,99013.00
LYNN COUNTY,2009.00
MADISON COUNTY,4289.00
MARION COUNTY,4238.00
MARTIN COUNTY,1762.00
MASON COUNTY,2057.00
MATAGORDA COUNTY,12196.00
MAVERICK COUNTY,13588.00
MCCULLOCH COUNTY,3103.00
MCLENNAN COUNTY,79075.00
MCMULLEN COUNTY,499.00
MEDINA COUNTY,17246.00
MENARD COUNTY,864.00
MIDLAND COUNTY,49212.00
MILAM COUNTY,8664.00
MILLS COUNTY,2245.00
MITCHELL COUNTY,2196.00
MONTAGUE COUNTY,8604.00
MONTGOMERY COUNTY,204632.00
MOORE COUNTY,5284.00
MORRIS COUNTY,4973.00
MOTLEY COUNTY,615.00
NACOGDOCHES COUNTY,22622.00
NAVARRO COUNTY,16433.00
NEWTON COUNTY,5534.00
NOLAN COUNTY,4857.00
NUECES COUNTY,104405.00
OCHILTREE COUNTY,3002.00
OLDHAM COUNTY,948.00
ORANGE COUNTY,32000.00
PALO PINTO COUNTY,10270.00
PANOLA COUNTY,10416.00
PARKER COUNTY,56817.00
PARMER COUNTY,2466.00
PECOS COUNTY,4185.00
POLK COUNTY,19852.00
POTTER COUNTY,28651.00
PRESIDIO COUNTY,2208.00
RAINS COUNTY,4701.00
RANDALL COUNTY,54305.00
REAGAN COUNTY,904.00
REAL COUNTY,1681.00
RED RIVER COUNTY,5161.00
REEVES COUNTY,3184.00
REFUGIO COUNTY,2948.00
ROBERTS COUNTY,554.00
ROBERTSON COUNTY,7035.00
ROCKWALL COUNTY,39948.00
RUNNELS COUNTY,3782.00
RUSK COUNTY,18994.00
SABINE COUNTY,4651.00
SAN AUGUSTINE COUNTY,3569.00
SAN JACINTO COUNTY,10343.00
SAN PATRICIO COUNTY,21656.00
SAN SABA COUNTY,2357.00
SCHLEICHER COUNTY,1059.00
SCURRY COUNTY,5289.00
SHACKELFORD COUNTY,1504.00
SHELBY COUNTY,9086.00
SHERMAN COUNTY,935.00
SMITH COUNTY,84768.00
SOMERVELL COUNTY,3897.00
STARR COUNTY,11740.00
STEPHENS COUNTY,3461.00
STERLING COUNTY,633.00
STONEWALL COUNTY,701.00
SUTTON COUNTY,1416.00
SWISHER COUNTY,2204.00
TARRANT COUNTY,668514.00
TAYLOR COUNTY,45759.00
TERRELL COUNTY,438.00
TERRY COUNTY,3355.00
THROCKMORTON COUNTY,808.00
TITUS COUNTY,9419.00
TOM GREEN COUNTY,38479.00
TRAVIS COUNTY,468720.00
TRINITY COUNTY,5985.00
TYLER COUNTY,8016.00
UPSHUR COUNTY,16013.00
UPTON COUNTY,1347.00
UVALDE COUNTY,8964.00
VAL VERDE COUNTY,13617.00
VAN ZANDT COUNTY,21890.00
VICTORIA COUNTY,31123.00
WALKER COUNTY,19796.00
WALLER COUNTY,16784.00
WARD COUNTY,3445.00
WASHINGTON COUNTY,14828.00
WEBB COUNTY,56905.00
WHARTON COUNTY,14732.00
WHEELER COUNTY,2306.00
WICHITA COUNTY,38119.00
WILBARGER COUNTY,4105.00
WILLACY COUNTY,5095.00
WILLIAMSON COUNTY,203081.00
