FIPSCode,jurisdiction,households,median_household_income
1001,"Autauga County, Alabama",21115,58786
1003,"Baldwin County, Alabama",78622,55962
1005,"Barbour County, Alabama",9186,34186
1007,"Bibb County, Alabama",6840,45340
1009,"Blount County, Alabama",20600,48695
1011,"Bullock County, Alabama",3609,32152
1013,"Butler County, Alabama",6708,39109
1015,"Calhoun County, Alabama",45033,45197
1017,"Chambers County, Alabama",13516,39872
1019,"Cherokee County, Alabama",10606,41014
1021,"Chilton County, Alabama",16751,45182
1023,"Choctaw County, Alabama",5350,34884
1025,"Clarke County, Alabama",9358,36127
1027,"Clay County, Alabama",5236,41225
1029,"Cleburne County, Alabama",5726,40188
1031,"Coffee County, Alabama",19789,53155
1033,"Colbert County, Alabama",21799,47558
1035,"Conecuh County, Alabama",4574,33177
1037,"Coosa County, Alabama",4103,38301
1039,"Covington County, Alabama",15008,40601
1041,"Crenshaw County, Alabama",5025,39812
1043,"Cullman County, Alabama",30730,42558
1045,"Dale County, Alabama",18670,45960
1047,"Dallas County, Alabama",16336,31602
1049,"DeKalb County, Alabama",26132,39233
1051,"Elmore County, Alabama",29143,59347
1053,"Escambia County, Alabama",13428,35000
1055,"Etowah County, Alabama",38777,44023
1057,"Fayette County, Alabama",6947,37458
1059,"Franklin County, Alabama",11210,40459
1061,"Geneva County, Alabama",10479,38142
1063,"Greene County, Alabama",2955,21804
1065,"Hale County, Alabama",5658,30571
1067,"Henry County, Alabama",6669,48610
1069,"Houston County, Alabama",39253,45496
1071,"Jackson County, Alabama",20626,39816
1073,"Jefferson County, Alabama",260924,51979
1075,"Lamar County, Alabama",5974,36756
1077,"Lauderdale County, Alabama",38514,46265
1079,"Lawrence County, Alabama",12811,44515
1081,"Lee County, Alabama",59373,48056
1083,"Limestone County, Alabama",32126,56460
1085,"Lowndes County, Alabama",4180,30833
1087,"Macon County, Alabama",7637,32074
1089,"Madison County, Alabama",145256,63417
1091,"Marengo County, Alabama",7768,32809
1093,"Marion County, Alabama",12212,35392
1095,"Marshall County, Alabama",34896,42490
1097,"Mobile County, Alabama",155831,46166
1099,"Monroe County, Alabama",8149,30141
1101,"Montgomery County, Alabama",89835,47990
1103,"Morgan County, Alabama",45646,49751
1105,"Perry County, Alabama",3079,23561
1107,"Pickens County, Alabama",7530,37458
1109,"Pike County, Alabama",11547,34678
1111,"Randolph County, Alabama",8643,41449
1113,"Russell County, Alabama",22740,40978
1115,"St. Clair County, Alabama",32172,54887
1117,"Shelby County, Alabama",78328,75761
1119,"Sumter County, Alabama",5047,23132
1121,"Talladega County, Alabama",31407,41012
1123,"Tallapoosa County, Alabama",16448,43361
1125,"Tuscaloosa County, Alabama",72379,52221
1127,"Walker County, Alabama",25036,41748
1129,"Washington County, Alabama",6007,40794
1131,"Wilcox County, Alabama",3804,27237
1133,"Winston County, Alabama",9403,38504
2013,"Aleutians East Borough, Alaska",860,69706
2016,"Aleutians West Census Area, Alaska",1176,85517
2020,"Anchorage Municipality, Alaska",106524,83280
2050,"Bethel Census Area, Alaska",4558,54212
2060,"Bristol Bay Borough, Alaska",333,84688
2068,"Denali Borough, Alaska",639,84196
2070,"Dillingham Census Area, Alaska",1420,58750
2090,"Fairbanks North Star Borough, Alaska",36513,77095
2100,"Haines Borough, Alaska",1026,64342
2105,"Hoonah-Angoon Census Area, Alaska",799,63603
2110,"Juneau City and Borough, Alaska",12521,88213
2122,"Kenai Peninsula Borough, Alaska",21741,66684
2130,"Ketchikan Gateway Borough, Alaska",5327,70356
2150,"Kodiak Island Borough, Alaska",4373,78281
2158,"Kusilvak Census Area, Alaska",1692,35539
2164,"Lake and Peninsula Borough, Alaska",425,46406
2170,"Matanuska-Susitna Borough, Alaska",30879,75905
2180,"Nome Census Area, Alaska",2875,58987
2185,"North Slope Borough, Alaska",1966,75431
2188,"Northwest Arctic Borough, Alaska",1860,62949
2195,"Petersburg Borough, Alaska",1170,66907
2198,"Prince of Wales-Hyder Census Area, Alaska",2356,54191
2220,"Sitka City and Borough, Alaska",3561,71534
2230,"Skagway Municipality, Alaska",400,72237
2240,"Southeast Fairbanks Census Area, Alaska",2163,71541
2261,"Valdez-Cordova Census Area, Alaska",3093,82306
2275,"Wrangell City and Borough, Alaska",1074,57583
2282,"Yakutat City and Borough, Alaska",232,65833
2290,"Yukon-Koyukuk Census Area, Alaska",1906,40000
4001,"Apache County, Arizona",20395,32963
4003,"Cochise County, Arizona",49250,48649
4005,"Coconino County, Arizona",47276,57616
4007,"Gila County, Arizona",21708,42092
4009,"Graham County, Arizona",10782,51352
4011,"Greenlee County, Arizona",3225,60962
4012,"La Paz County, Arizona",8912,33333
4013,"Maricopa County, Arizona",1520767,61606
4015,"Mohave County, Arizona",85485,43266
4017,"Navajo County, Arizona",34407,40054
4019,"Pima County, Arizona",400907,51037
4021,"Pinal County, Arizona",137286,55550
4023,"Santa Cruz County, Arizona",15430,40467
4025,"Yavapai County, Arizona",96007,50180
4027,"Yuma County, Arizona",72463,44058
5001,"Arkansas County, Arkansas",7682,39466
5003,"Ashley County, Arkansas",7915,39635
5005,"Baxter County, Arkansas",18370,41481
5007,"Benton County, Arkansas",94333,64141
5009,"Boone County, Arkansas",14870,43262
5011,"Bradley County, Arkansas",4537,39510
5013,"Calhoun County, Arkansas",1936,44022
5015,"Carroll County, Arkansas",11161,43505
5017,"Chicot County, Arkansas",4308,33051
5019,"Clark County, Arkansas",8505,39752
5021,"Clay County, Arkansas",6441,33935
5023,"Cleburne County, Arkansas",10731,43391
5025,"Cleveland County, Arkansas",3292,42460
5027,"Columbia County, Arkansas",8962,36148
5029,"Conway County, Arkansas",8475,41196
5031,"Craighead County, Arkansas",40800,45868
5033,"Crawford County, Arkansas",23701,46619
5035,"Crittenden County, Arkansas",18756,39002
5037,"Cross County, Arkansas",6694,43838
5039,"Dallas County, Arkansas",3033,36628
5041,"Desha County, Arkansas",5111,30234
5043,"Drew County, Arkansas",7018,43014
5045,"Faulkner County, Arkansas",44095,51930
5047,"Franklin County, Arkansas",6800,39463
5049,"Fulton County, Arkansas",5000,36184
5051,"Garland County, Arkansas",39894,43146
5053,"Grant County, Arkansas",6780,51920
5055,"Greene County, Arkansas",16879,47497
5057,"Hempstead County, Arkansas",7971,41355
5059,"Hot Spring County, Arkansas",12377,41262
5061,"Howard County, Arkansas",5096,35900
5063,"Independence County, Arkansas",14268,43523
5065,"Izard County, Arkansas",5049,40218
5067,"Jackson County, Arkansas",6095,33174
5069,"Jefferson County, Arkansas",26977,38289
5071,"Johnson County, Arkansas",9800,37170
5073,"Lafayette County, Arkansas",2859,32412
5075,"Lawrence County, Arkansas",6531,38528
5077,"Lee County, Arkansas",3352,28367
5079,"Lincoln County, Arkansas",3795,45166
5081,"Little River County, Arkansas",5440,45388
5083,"Logan County, Arkansas",8464,39748
5085,"Lonoke County, Arkansas",26868,57509
5087,"Madison County, Arkansas",6195,43891
5089,"Marion County, Arkansas",6669,35518
5091,"Miller County, Arkansas",16748,41903
5093,"Mississippi County, Arkansas",16888,37237
5095,"Monroe County, Arkansas",3326,35190
5097,"Montgomery County, Arkansas",3761,37855
5099,"Nevada County, Arkansas",3303,37635
5101,"Newton County, Arkansas",2899,39896
5103,"Ouachita County, Arkansas",10055,34887
5105,"Perry County, Arkansas",3708,46071
5107,"Phillips County, Arkansas",7498,29263
5109,"Pike County, Arkansas",4299,37406
5111,"Poinsett County, Arkansas",9437,39277
5113,"Polk County, Arkansas",8204,37035
5115,"Pope County, Arkansas",22628,41914
5117,"Prairie County, Arkansas",3826,41846
5119,"Pulaski County, Arkansas",157083,50093
5121,"Randolph County, Arkansas",7455,36870
5123,"St. Francis County, Arkansas",9319,35356
5125,"Saline County, Arkansas",43604,62152
5127,"Scott County, Arkansas",3855,35509
5129,"Searcy County, Arkansas",3271,36390
5131,"Sebastian County, Arkansas",50670,43240
5133,"Sevier County, Arkansas",5854,46667
5135,"Sharp County, Arkansas",7354,33708
5137,"Stone County, Arkansas",4954,36162
5139,"Union County, Arkansas",15904,44000
5141,"Van Buren County, Arkansas",6852,36897
5143,"Washington County, Arkansas",85891,49629
5145,"White County, Arkansas",29263,43822
5147,"Woodruff County, Arkansas",2890,31023
5149,"Yell County, Arkansas",7491,42361
6001,"Alameda County, California",572870,92574
6003,"Alpine County, California",299,64688
6005,"Amador County, California",14090,61198
6007,"Butte County, California",86797,48443
6009,"Calaveras County, California",17417,58151
6011,"Colusa County, California",7113,56704
6013,"Contra Costa County, California",392277,93712
6015,"Del Norte County, California",9799,45258
6017,"El Dorado County, California",69172,80582
6019,"Fresno County, California",304624,51261
6021,"Glenn County, California",10017,47395
6023,"Humboldt County, California",54267,45528
6025,"Imperial County, California",44057,45834
6027,"Inyo County, California",8083,52874
6029,"Kern County, California",267913,52479
