FIPSCode,county,emp_pop_16plus,below_pov_past12_percentage
01001,"Autauga County, Alabama",59.3,12
01003,"Baldwin County, Alabama",58.5,7.3
01005,"Barbour County, Alabama",46,21.5
01007,"Bibb County, Alabama",47.4,10.5
01009,"Blount County, Alabama",48.6,10.2
01011,"Bullock County, Alabama",52.7,31
01013,"Butler County, Alabama",53,18.9
01015,"Calhoun County, Alabama",57.1,14.6
01017,"Chambers County, Alabama",56.3,11.3
01019,"Cherokee County, Alabama",48.6,12.5
01021,"Chilton County, Alabama",54.6,15.3
01023,"Choctaw County, Alabama",44.1,17.8
01025,"Clarke County, Alabama",45.2,18.4
01027,"Clay County, Alabama",54.6,14.8
01029,"Cleburne County, Alabama",51.6,12
01031,"Coffee County, Alabama",59.8,11.6
01033,"Colbert County, Alabama",53.9,12.6
01035,"Conecuh County, Alabama",43.3,17.4
01037,"Coosa County, Alabama",47.3,8.7
01039,"Covington County, Alabama",54.3,13.8
01041,"Crenshaw County, Alabama",54.1,10.3
01043,"Cullman County, Alabama",53.1,11.7
01045,"Dale County, Alabama",56.7,13.5
01047,"Dallas County, Alabama",51.6,24.8
01049,"DeKalb County, Alabama",53.6,17
01051,"Elmore County, Alabama",56,9.8
01053,"Escambia County, Alabama",47,17.9
01055,"Etowah County, Alabama",54.4,13.4
01057,"Fayette County, Alabama",51,15
01059,"Franklin County, Alabama",55.7,14.8
01061,"Geneva County, Alabama",51.8,17.8
01063,"Greene County, Alabama",39.3,33.4
01065,"Hale County, Alabama",49,20.1
01067,"Henry County, Alabama",52.7,10.7
01069,"Houston County, Alabama",57.7,14
01071,"Jackson County, Alabama",50.7,16.5
01073,"Jefferson County, Alabama",62.2,13.2
01075,"Lamar County, Alabama",52,15.2
01077,"Lauderdale County, Alabama",55.8,10.5
01079,"Lawrence County, Alabama",49.9,13.4
01081,"Lee County, Alabama",60.6,12.8
01083,"Limestone County, Alabama",57.4,10.2
01085,"Lowndes County, Alabama",48.3,23.4
