ID,FIPS,STATE,LABEL,10Total_registered_x,10Notices_removed_x,12Total_registered_x,12Notices_removed_x,14Total_registered_x,14Notices_removed_x,16Total_registered_x,16Notices_removed_x,18Total_registered_x,18Notices_removed_x,10pct,12pct,14pct,16pct,18pct,median_pct,median_desc,mean_pct,mean_desc,Total_pop,Urban,Rural,POP_DESC,Pop_25+,Pct_colgrads,Pop_birth,Pct_foreign-born,Pop_16+,Unemployed,Households,Median household income,Income_desc,Pct_poverty,Emp_pop_16+,Top_occupation_pct,Top_occupation,Tot_racepop,White,Pct_White,Nonwhite,Pct_Nonwhite,Nonwhite_desc,Hispanic,Pct_Hispanic,Black,Pct_Black,Native,Pct_Native,Asian,Pct_Asian,Hawaiian_Pacific Islander,Pct_Hawaiian_Pacific Islander,Other,Pct_other,Multi,Pct_multi,VOTING AGE,VOTING AGE_Male,Pct_VOTING AGE_Male,VOTING AGE_Female,Pct_VOTING AGE_Female,Region,Division,total_2016,gop_2016,dem_2016,oth_2016,WINNER
1,01001,AL,"Autauga County, Alabama",34727,0,37170,,33806,3987,38187,,39770,862,0,0,10.54957267,0,2.121480606,0,Less than 1%,2.534210656,1% - 5%,54571,31650,22921,Urban,36466,24.6,55049,1.8,42712,5.6,20800,53099,"$50,001 - $75,000",12.3,24262,33.8,"Management, business, science, and arts",55049,41663,75.7,13386,24.3,10% - 25%,1416,2.6,10113,18.4,226,0.4,444,0.8,6,0,123,0.2,1058,1.9,40692,19464,47.8,21228,52.2,South Region,East South Central Division,24661,18110,5908,643,Rep
2,01003,AL,"Baldwin County, Alabama",114952,3157,126703,,123477,6649,146824,,155127,5770,2.672954644,0,5.109662942,0,3.586145174,2.672954644,1% - 5%,2.273752552,1% - 5%,182265,105205,77060,Urban,139946,29.5,199510,3.3,160301,6.3,75149,51365,"$50,001 - $75,000",13,87753,34.2,"Management, business, science, and arts",199510,165950,83.2,33560,16.8,10% - 25%,8712,4.4,18406,9.2,1228,0.6,1325,0.7,0,0,305,0.2,3584,1.8,151769,72829,48,78940,52,South Region,East South Central Division,94090,72780,18409,2901,Rep
3,01005,AL,"Barbour County, Alabama",16450,899,17318,,16227,1014,17102,,17323,418,5.181854862,0,5.881329389,0,2.356124232,2.356124232,1% - 5%,2.683861697,1% - 5%,27457,8844,18613,Rural,18387,12.9,26614,2.9,21476,12.8,9122,33956,"Less than $35,000",26.4,8993,26.7,"Management, business, science, and arts",26614,12212,45.9,14402,54.1,More than 25%,1147,4.3,12745,47.9,46,0.2,118,0.4,0,0,198,0.7,148,0.6,20373,10909,53.5,9464,46.5,South Region,East South Central Division,10390,5431,4848,111,Rep
4,01007,AL,"Bibb County, Alabama",12239,854,12819,,12072,905,13510,,14244,164,6.522569312,0,6.973876859,0,1.138256524,1.138256524,1% - 5%,2.926940539,1% - 5%,22915,7252,15663,Rural,15750,12,22572,1.4,18496,7.1,7048,39776,"$35,000 - $50,000",16.5,8354,25.2,"Production, transportation, and material moving",22572,16876,74.8,5696,25.2,More than 25%,502,2.2,4788,21.2,81,0.4,14,0.1,0,0,0,0,311,1.4,17589,9478,53.9,8111,46.1,South Region,East South Central Division,8748,6733,1874,141,Rep
5,01009,AL,"Blount County, Alabama",31874,901,33951,2,33891,1430,37718,,39687,249,2.749046529,0.005890496,4.048582996,0,0.623497596,0.623497596,Less than 1%,1.485403523,1% - 5%,57322,5760,51562,Rural,39472,13,57704,4.3,46007,6,20619,46212,"$35,000 - $50,000",16.5,21593,29.3,"Management, business, science, and arts",57704,50582,87.7,7122,12.3,10% - 25%,5036,8.7,899,1.6,171,0.3,92,0.2,0,0,130,0.2,794,1.4,42432,20677,48.7,21755,51.3,South Region,East South Central Division,25384,22808,2150,426,Rep
6,01011,AL,"Bullock County, Alabama",7650,1,7817,1,7236,588,7424,,7472,74,0.013070187,0.012790995,7.515337423,0,0.980652001,0.013070187,Less than 1%,1.704370121,1% - 5%,10914,5307,5607,Rural,7333,10.3,10552,1.5,8547,13.3,3556,29335,"Less than $35,000",26.9,4174,29.8,"Production, transportation, and material moving",10552,2288,21.7,8264,78.3,More than 25%,13,0.1,7967,75.5,84,0.8,84,0.8,0,0,1,0,115,1.1,8195,4562,55.7,3633,44.3,South Region,East South Central Division,4701,1139,3530,32,Dem
7,01013,AL,"Butler County, Alabama",12898,1260,13488,2,13225,643,13805,,14079,406,8.899562085,0.014825797,4.636573406,0,2.802899551,2.802899551,1% - 5%,3.270772168,1% - 5%,20947,6026,14921,Rural,13949,16.1,20280,1.4,16103,9.8,7675,34315,"Less than $35,000",25.7,7810,28.1,"Management, business, science, and arts",20280,10704,52.8,9576,47.2,More than 25%,253,1.2,8825,43.5,15,0.1,203,1,0,0,13,0.1,267,1.3,15427,6960,45.1,8467,54.9,South Region,East South Central Division,8685,4891,3716,78,Rep
8,01015,AL,"Calhoun County, Alabama",66236,6203,70093,,67065,4152,74433,,76168,1149,8.563066856,0,5.830068663,0,1.486089734,1.486089734,1% - 5%,3.175845051,1% - 5%,118572,78617,39955,Urban,78661,17.7,115883,2.4,93229,11.7,45071,41954,"$35,000 - $50,000",19.6,47010,28.3,"Management, business, science, and arts",115883,84592,73,31291,27,More than 25%,3982,3.4,23561,20.3,229,0.2,1079,0.9,6,0,27,0,2407,2.1,88523,41809,47.2,46714,52.8,South Region,East South Central Division,47376,32803,13197,1376,Rep
9,01017,AL,"Chambers County, Alabama",23192,254,24463,,21743,3183,24020,,24367,526,1.083340442,0,12.7697986,0,2.113043828,1.083340442,1% - 5%,3.193236575,1% - 5%,34215,17399,16816,Urban,23854,12.5,34018,1,27454,7.5,13851,36027,"$35,000 - $50,000",20.3,14031,26.4,"Production, transportation, and material moving",34018,19303,56.7,14715,43.3,More than 25%,148,0.4,13770,40.5,78,0.2,312,0.9,0,0,17,0,390,1.1,26479,12417,46.9,14062,53.1,South Region,East South Central Division,13778,7803,5763,212,Rep
10,01019,AL,"Cherokee County, Alabama",14422,874,15343,,14822,975,16970,,17893,152,5.713912134,0,6.172057986,0,0.842338598,0.842338598,Less than 1%,2.545661744,1% - 5%,25989,3707,22282,Rural,18694,14,25897,0.7,21248,5.9,10999,38925,"$35,000 - $50,000",16.4,10193,31,"Management, business, science, and arts",25897,23792,91.9,2105,8.1,5% - 9.9%,405,1.6,1193,4.6,152,0.6,86,0.3,0,0,0,0,269,1,20507,10109,49.3,10398,50.7,South Region,East South Central Division,10503,8809,1524,170,Rep
