"","State","FIPSCode","JurisdictionName.x","F1a"
"1","AR",501300000,"CALHOUN COUNTY",NA
"2","AR",504300000,"DREW COUNTY",NA
"3","AR",508500000,"LONOKE COUNTY",NA
"4","AR",510100000,"NEWTON COUNTY",NA
"5","AR",512300000,"ST. FRANCIS COUNTY",NA
"6","AR",514500000,"WHITE COUNTY",NA
"7","HI",1500500000,"KALAWAO COUNTY",NA
"8","ME",2300302760,"BANCROFT",NA
"9","TX",4802100000,"BASTROP COUNTY",NA
"10","TX",4802300000,"BAYLOR COUNTY",NA
"11","TX",4802700000,"BELL COUNTY",NA
"12","TX",4803100000,"BLANCO COUNTY",NA
"13","TX",4804300000,"BREWSTER COUNTY",NA
"14","TX",4806900000,"CASTRO COUNTY",NA
"15","TX",4807700000,"CLAY COUNTY",NA
"16","TX",4807900000,"COCHRAN COUNTY",NA
"17","TX",4809500000,"CONCHO COUNTY",NA
"18","TX",4810700000,"CROSBY COUNTY",NA
"19","TX",4811500000,"DAWSON COUNTY",NA
"20","TX",4811700000,"DEAF SMITH COUNTY",NA
"21","TX",4811900000,"DELTA COUNTY",NA
"22","TX",4812500000,"DICKENS COUNTY",NA
"23","TX",4812700000,"DIMMIT COUNTY",NA
"24","TX",4813500000,"ECTOR COUNTY",NA
"25","TX",4814500000,"FALLS COUNTY",NA
"26","TX",4817700000,"GONZALES COUNTY",NA
"27","TX",4819100000,"HALL COUNTY",NA
"28","TX",4819500000,"HANSFORD COUNTY",NA
"29","TX",4819900000,"HARDIN COUNTY",NA
"30","TX",4822300000,"HOPKINS COUNTY",NA
"31","TX",4822900000,"HUDSPETH COUNTY",NA
"32","TX",4827100000,"KINNEY COUNTY",NA
"33","TX",4827500000,"KNOX COUNTY",NA
"34","TX",4829100000,"LIBERTY COUNTY",NA
"35","TX",4829700000,"LIVE OAK COUNTY",NA
"36","TX",4832500000,"MEDINA COUNTY",NA
"37","TX",4833700000,"MONTAGUE COUNTY",NA
"38","TX",4834300000,"MORRIS COUNTY",NA
"39","TX",4834500000,"MOTLEY COUNTY",NA
"40","TX",4835500000,"NUECES COUNTY",NA
"41","TX",4835700000,"OCHILTREE COUNTY",NA
"42","TX",4836900000,"PARMER COUNTY",NA
"43","TX",4841100000,"SAN SABA COUNTY",NA
"44","TX",4843500000,"SUTTON COUNTY",NA
"45","TX",4844900000,"TITUS COUNTY",NA
"46","TX",4848300000,"WHEELER COUNTY",NA
"47","TX",4850500000,"ZAPATA COUNTY",NA
