FIPSCode,State,JurisdictionName,E1a,E1b,E1c,E1d,E1e_Other,E1e,E1f_Other,E1f,E1Comments,E2a,E2b,E2c,E2d,E2e,E2f,E2g,E2h,E2i,E2j_Other,E2j,E2k_Other,E2k,E2l_Other,E2l,E2m_Other,E2m,E2n_Other,E2n,E2o_Other,E2o,E2p_Other,E2p,E2Comments
0200000000,AK,ALASKA,19822,5277,14274,271, ,-999999: Data Not Available, ,-999999: Data Not Available, ,171,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,38,0,-888888: Not Applicable,35,OTHER INSUFFICIENCIES,27, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, 
0100100000,AL,AUTAUGA COUNTY,185,-888888: Not Applicable,-888888: Not Applicable,116, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available,-999999: Data Not Available,-999999: Data Not Available,-999999: Data Not Available,-999999: Data Not Available,-999999: Data Not Available,-999999: Data Not Available,-999999: Data Not Available,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, 
0100300000,AL,BALDWIN COUNTY,1241,-888888: Not Applicable,-888888: Not Applicable,639, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888.,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, 
0100500000,AL,BARBOUR COUNTY,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888.,-999999: Data Not Available,-888888.,-999999: Data Not Available, ,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888.,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, 
0100700000,AL,BIBB COUNTY,29,-888888: Not Applicable,-888888: Not Applicable,21,-888888.,-999999: Data Not Available,-888888.,-999999: Data Not Available, ,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888.,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, 
0100900000,AL,BLOUNT COUNTY,56,-888888: Not Applicable,-888888: Not Applicable,3,-888888.,-999999: Data Not Available,-888888.,-999999: Data Not Available, ,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888.,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, 
0101100000,AL,BULLOCK COUNTY,24,-888888: Not Applicable,-888888: Not Applicable,13,-888888.,-999999: Data Not Available,-888888.,-999999: Data Not Available, ,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888.,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, 
0101300000,AL,BUTLER COUNTY,28,-888888: Not Applicable,-888888: Not Applicable,13,-888888.,-999999: Data Not Available,-888888.,-999999: Data Not Available, ,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888.,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, 
0101500000,AL,CALHOUN COUNTY,229,-888888: Not Applicable,-888888: Not Applicable,126,-888888.,-999999: Data Not Available,-888888.,-999999: Data Not Available, ,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888.,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, 
0101700000,AL,CHAMBERS COUNTY,99,-888888: Not Applicable,-888888: Not Applicable,45,-888888.,-999999: Data Not Available,-888888.,-999999: Data Not Available, ,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888.,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, 
