"","FIPSCode","total_votes_2016","transmitted","mail_ballots_submitted","mail_ballots_counted","JurisdictionName","rejected","State","pr2","pr3","jurisdiction","unemp_pop_16plus_percentage","below_pov_past12_percentage","households","median_household_income","total_pop","pop_16","white_count","white_percentage","nonwhite_count","nonwhite_percentage","hispanic_count","hispanic_percentage","black_count","black_percentage","native_count","native_percentage","asian_count","asian_percentage","pac_count","pac_percentage","voting_age"
"1",1001,25146,1290,1207,1297,"AUTAUGA COUNTY",N/A,"AL",0.935658914728682,N/A,"Autauga County, Alabama","59.3","12","21115","58786",55200,43387.2,41412,75,13788,25,1528,2.8,10475,19,159,0.3,568,1,5,0,41831
"2",1003,96229,5317,4779,4568,"BALDWIN COUNTY",N/A,"AL",0.898815121309009,N/A,"Baldwin County, Alabama","58.5","7.3","78622","55962",208107,167734.242,172768,83,35339,17,9353,4.5,19529,9.4,1398,0.7,1668,0.8,9,0,162430
"3",1005,10544,652,611,683,"BARBOUR COUNTY",N/A,"AL",0.937116564417178,N/A,"Barbour County, Alabama","46","21.5","9186","34186",25782,20960.766,11898,46.1,13884,53.9,1106,4.3,12199,47.3,63,0.2,85,0.3,1,0,20346
"4",1007,8853,244,226,241,"BIBB COUNTY",N/A,"AL",0.926229508196721,N/A,"Bibb County, Alabama","47.4","10.5","6840","45340",22527,18472.14,16801,74.6,5726,25.4,547,2.4,4974,22.1,8,0,37,0.2,0,0,17868
"5",1009,25740,810,743,753,"BLOUNT COUNTY",N/A,"AL",0.917283950617284,N/A,"Blount County, Alabama","48.6","10.2","20600","48695",57645,45943.065,50232,87.1,7413,12.9,5261,9.1,820,1.4,124,0.2,198,0.3,18,0,44177
"6",1011,4742,341,318,323,"BULLOCK COUNTY",N/A,"AL",0.932551319648094,N/A,"Bullock County, Alabama","52.7","31","3609","32152",10352,8416.176,2228,21.5,8124,78.5,51,0.5,7893,76.2,122,1.2,56,0.5,0,0,8202
"7",1013,8774,563,510,242,"BUTLER COUNTY",N/A,"AL",0.905861456483126,N/A,"Butler County, Alabama","53","18.9","6708","39109",20025,15979.95,10384,51.9,9641,48.1,67,0.3,9027,45.1,2,0,231,1.2,0,0,15459
"8",1015,48076,1615,1459,1401,"CALHOUN COUNTY",N/A,"AL",0.903405572755418,N/A,"Calhoun County, Alabama","57.1","14.6","45033","45197",115098,92999.184,83423,72.5,31675,27.5,4203,3.7,23618,20.5,227,0.2,1065,0.9,9,0,89902
"9",1017,13904,605,546,537,"CHAMBERS COUNTY",N/A,"AL",0.902479338842975,N/A,"Chambers County, Alabama","56.3","11.3","13516","39872",33826,27669.668,18872,55.8,14954,44.2,768,2.3,13319,39.4,97,0.3,405,1.2,0,0,26820
"10",1019,10860,469,445,449,"CHEROKEE COUNTY",N/A,"AL",0.948827292110874,N/A,"Cherokee County, Alabama","48.6","12.5","10606","41014",25853,21354.578,23730,91.8,2123,8.2,398,1.5,1267,4.9,236,0.9,42,0.2,0,0,20567
"11",1021,18460,1012,935,913,"CHILTON COUNTY",N/A,"AL",0.923913043478261,N/A,"Chilton County, Alabama","54.6","15.3","16751","45182",43930,34528.98,35205,80.1,8725,19.9,3416,7.8,4112,9.4,39,0.1,190,0.4,0,0,33283
"12",1023,7334,438,393,378,"CHOCTAW COUNTY",N/A,"AL",0.897260273972603,N/A,"Choctaw County, Alabama","44.1","17.8","5350","34884",13075,10799.95,7370,56.4,5705,43.6,73,0.6,5570,42.6,9,0.1,13,0.1,0,0,10425
"13",1025,13100,776,687,638,"CLARKE COUNTY",N/A,"AL",0.885309278350515,N/A,"Clarke County, Alabama","45.2","18.4","9358","36127",24387,19753.47,12895,52.9,11492,47.1,48,0.2,11173,45.8,25,0.1,123,0.5,0,0,18998
