FIPSCode,total_2016,gop_2016,dem_2016,oth_2016,WINNER
1001,24661,18110,5908,643,Rep
1003,94090,72780,18409,2901,Rep
1005,10390,5431,4848,111,Rep
1007,8748,6733,1874,141,Rep
1009,25384,22808,2150,426,Rep
1011,4701,1139,3530,32,Dem
1013,8685,4891,3716,78,Rep
1015,47376,32803,13197,1376,Rep
1017,13778,7803,5763,212,Rep
1019,10503,8809,1524,170,Rep
1021,18255,15068,2909,278,Rep
1023,7268,4102,3109,57,Rep
1025,12936,7109,5712,115,Rep
1027,6572,5230,1234,108,Rep
1029,6532,5738,684,110,Rep
1031,20513,15825,4194,494,Rep
1033,24626,16718,7296,612,Rep
1035,6543,3413,3069,61,Rep
1037,5223,3376,1780,67,Rep
1039,15818,13222,2379,217,Rep
1041,6252,4511,1663,78,Rep
1043,37278,32734,3730,814,Rep
1045,18617,13798,4408,411,Rep
1047,18730,5784,12826,120,Dem
1049,26086,21779,3682,625,Rep
1051,36905,27619,8436,850,Rep
1053,15213,10282,4698,233,Rep
1055,43474,32132,10350,992,Rep
1057,8196,6705,1358,133,Rep
1059,11955,9466,2197,292,Rep
1061,11659,9967,1522,170,Rep
1063,4862,838,4006,18,Dem
1065,8010,3172,4772,66,Dem
1067,8017,5623,2286,108,Rep
1069,42030,30567,10547,916,Rep
1071,20785,16643,3663,479,Rep
1073,290111,130614,151581,7916,Dem
1075,6931,5819,1035,77,Rep
1077,38813,27735,9877,1201,Rep
1079,14623,10732,3611,280,Rep
1081,57668,34321,20987,2360,Rep
1083,39400,28824,9340,1236,Rep
1085,6676,1751,4882,43,Dem
1087,8748,1394,7237,117,Dem
1089,159473,89199,62435,7839,Rep
1091,10948,5224,5607,117,Dem
1093,12912,11273,1432,207,Rep
1095,34965,29217,4913,835,Rep
1097,163387,91087,68429,3871,Rep
1099,10185,5771,4310,104,Rep
1101,94572,33928,58669,1975,Dem
1103,49991,37392,11216,1383,Rep
1105,5255,1403,3823,29,Dem
1107,9494,5454,3972,68,Rep
1109,13025,7681,5039,305,Rep
1111,10130,7697,2290,143,Rep
1113,19136,9210,9577,349,Dem
1115,37937,31579,5550,808,Rep
1117,99208,72846,22927,3435,Rep
1119,6391,1581,4739,71,Dem
1121,33218,20596,12108,514,Rep
1123,18504,12967,5271,266,Rep
1125,81708,47701,31746,2261,Rep
1127,29243,24208,4486,549,Rep
1129,8492,6031,2366,95,Rep
1131,6095,1737,4329,29,Dem
1133,10255,9225,871,159,Rep
2013,NA,NA,NA,NA,Rep
2016,NA,NA,NA,NA,Rep
2020,NA,NA,NA,NA,Rep
2050,NA,NA,NA,NA,Rep
2060,NA,NA,NA,NA,Rep
2068,NA,NA,NA,NA,Rep
2070,NA,NA,NA,NA,Rep
2090,NA,NA,NA,NA,Rep
2100,NA,NA,NA,NA,Rep
2105,NA,NA,NA,NA,Rep
2110,NA,NA,NA,NA,Rep
2122,NA,NA,NA,NA,Rep
2130,NA,NA,NA,NA,Rep
2150,NA,NA,NA,NA,Rep
2158,NA,NA,NA,NA,Rep
2164,NA,NA,NA,NA,Rep
2170,NA,NA,NA,NA,Rep
2180,NA,NA,NA,NA,Rep
2185,NA,NA,NA,NA,Rep
2188,NA,NA,NA,NA,Rep
2195,NA,NA,NA,NA,Rep
