"","population","transmitted","submitted","rejected","pr2","pr3","State","FIPSCode"
"1",9994,627,633,6,1.00956937799043,0.00947867298578199,"CT",9001
"2",39060,2345,2503,158,1.06737739872068,0.0631242508989213,"CT",9001
"3",9790,789,808,19,1.02408111533587,0.0235148514851485,"CT",9001
"4",29270,1798,1823,25,1.0139043381535,0.013713658804169,"CT",9001
"5",11663,1516,1550,34,1.02242744063325,0.0219354838709677,"CT",9001
"6",4595,458,469,11,1.02401746724891,0.023454157782516,"CT",9001
"7",32221,3093,3168,75,1.02424830261882,0.0236742424242424,"CT",9001
"8",32593,3850,3886,36,1.00935064935065,0.00926402470406588,"CT",9001
"9",11110,839,859,20,1.0238379022646,0.0232828870779977,"CT",9001
"10",11311,1622,1640,18,1.01109741060419,0.0109756097560976,"CT",9001
"11",7827,658,659,1,1.00151975683891,0.00151745068285281,"CT",9001
"12",15682,1586,1611,25,1.01576292559899,0.0155183116076971,"CT",9001
"13",38892,2676,2708,32,1.01195814648729,0.0118168389955687,"CT",9001
"14",5620,801,810,9,1.01123595505618,0.0111111111111111,"CT",9001
"15",14617,1888,1917,29,1.01536016949153,0.0151278038601982,"CT",9001
"16",21170,1569,1586,17,1.01083492670491,0.010718789407314,"CT",9001
"17",2174,247,251,4,1.01619433198381,0.0159362549800797,"CT",9001
"18",53035,4851,5006,155,1.03195217480932,0.0309628445864962,"CT",9001
"19",25546,1551,1580,29,1.0186976144423,0.0183544303797468,"CT",9001
"20",20174,1841,1873,32,1.01738185768604,0.0170848905499199,"CT",9001
"21",5885,895,898,3,1.00335195530726,0.00334075723830735,"CT",9001
"22",15835,2379,2434,55,1.02311895754519,0.0225965488907149,"CT",9001
"23",10678,1461,1474,13,1.00889801505818,0.00881953867028494,"CT",9001
"24",10801,1316,1330,14,1.01063829787234,0.0105263157894737,"CT",9003
"25",11773,828,844,16,1.01932367149758,0.018957345971564,"CT",9003
"26",26769,1601,1618,17,1.0106183635228,0.0105067985166873,"CT",9003
"27",5452,362,369,7,1.01933701657459,0.018970189701897,"CT",9003
"28",6108,584,591,7,1.01198630136986,0.011844331641286,"CT",9003
"29",3003,201,202,1,1.00497512437811,0.00495049504950495,"CT",9003
"30",19323,858,893,35,1.04079254079254,0.0391937290033595,"CT",9003
"31",5839,333,346,13,1.03903903903904,0.0375722543352601,"CT",9003
"32",19248,1152,1170,18,1.015625,0.0153846153846154,"CT",9003
"33",14943,1476,1510,34,1.0230352303523,0.0225165562913907,"CT",9003
"34",20084,1996,2085,89,1.04458917835671,0.0426858513189448,"CT",9003
"35",6626,526,529,3,1.00570342205323,0.0056710775047259,"CT",9003
"36",34432,2319,2401,82,1.03536006899526,0.034152436484798,"CT",9003
"37",25159,1676,1696,20,1.01193317422434,0.0117924528301887,"CT",9003
"38",3626,289,292,3,1.01038062283737,0.0102739726027397,"CT",9003
"39",22684,1121,1145,24,1.021409455843,0.0209606986899563,"CT",9003
"40",15908,952,975,23,1.02415966386555,0.0235897435897436,"CT",9003
"41",9986,812,831,19,1.02339901477833,0.022864019253911,"CT",9003
"42",14694,1612,1642,30,1.01861042183623,0.0182704019488429,"CT",9003
"43",23575,1647,1687,40,1.02428658166363,0.02371072910492,"CT",9003
"44",14188,1217,1230,13,1.01068200493016,0.0105691056910569,"CT",9003
"45",7710,686,699,13,1.01895043731778,0.0185979971387697,"CT",9003
"46",14801,865,873,8,1.00924855491329,0.00916380297823597,"CT",9003
"47",16214,1119,1147,28,1.02502234137623,0.024411508282476,"CT",9003
"48",6238,326,328,2,1.00613496932515,0.00609756097560976,"CT",9003
"49",2268,152,155,3,1.01973684210526,0.0193548387096774,"CT",9005
"50",2436,161,170,9,1.05590062111801,0.0529411764705882,"CT",9005
"51",1138,127,137,10,1.07874015748032,0.072992700729927,"CT",9005
"52",607,92,94,2,1.02173913043478,0.0212765957446809,"CT",9005
"53",950,134,137,3,1.02238805970149,0.0218978102189781,"CT",9005
"54",1863,126,128,2,1.01587301587302,0.015625,"CT",9005
"55",3759,247,249,2,1.0080971659919,0.00803212851405622,"CT",9005
"56",4936,447,451,4,1.0089485458613,0.00886917960088692,"CT",9005
"57",1443,103,106,3,1.02912621359223,0.0283018867924528,"CT",9005
"58",4194,317,321,4,1.01261829652997,0.0124610591900312,"CT",9005
"59",14131,905,909,4,1.00441988950276,0.0044004400440044,"CT",9005
"60",974,105,108,3,1.02857142857143,0.0277777777777778,"CT",9005
"61",1507,206,211,5,1.02427184466019,0.023696682464455,"CT",9005
"62",2387,408,416,8,1.01960784313725,0.0192307692307692,"CT",9005
"63",1447,181,182,1,1.00552486187845,0.00549450549450549,"CT",9005
"64",4000,201,205,4,1.01990049751244,0.0195121951219512,"CT",9005
"65",14785,1004,1020,16,1.01593625498008,0.0156862745098039,"CT",9005
