pr2,pr3,State,FIPSCode,population
0.9356589147286821,NA,AL,1001,40692
0.8988151213090089,NA,AL,1003,151769
0.9371165644171779,NA,AL,1005,20373
0.9262295081967213,NA,AL,1007,17589
0.917283950617284,NA,AL,1009,42432
0.9325513196480938,NA,AL,1011,8195
0.9058614564831261,NA,AL,1013,15427
0.903405572755418,NA,AL,1015,88523
0.9024793388429752,NA,AL,1017,26479
0.9488272921108742,NA,AL,1019,20507
0.9239130434782609,NA,AL,1021,31557
0.8972602739726028,NA,AL,1023,10516
0.8853092783505154,NA,AL,1025,19194
0.9017199017199017,NA,AL,1027,10362
0.9467455621301775,NA,AL,1029,11294
0.8815931108719053,NA,AL,1031,37955
0.9335016835016835,NA,AL,1033,42234
0.9068493150684932,NA,AL,1035,9823
0.94972067039106145,NA,AL,1037,8756
0.8914354644149578,NA,AL,1039,29297
0.8849557522123894,NA,AL,1041,10536
0.9330453563714903,NA,AL,1043,61623
0.9407582938388626,NA,AL,1045,37406
0.8796296296296297,NA,AL,1047,30613
0.9157608695652174,NA,AL,1049,49580
0.8985507246376812,NA,AL,1051,61483
0.8973214285714286,NA,AL,1053,29331
0.9277251184834123,NA,AL,1055,78779
0.9081272084805654,NA,AL,1057,13153
0.935042735042735,NA,AL,1059,21934
0.912621359223301,NA,AL,1061,20517
0.8648648648648649,NA,AL,1063,6595
0.8779342723004695,NA,AL,1065,11566
0.9336016096579477,NA,AL,1067,13336
0.9119749776586238,NA,AL,1069,78086
0.9396863691194209,NA,AL,1071,40732
0.863941427699817,NA,AL,1073,491015
0.9083333333333333,NA,AL,1075,10962
0.9231143552311436,NA,AL,1077,72736
0.9389473684210526,NA,AL,1079,25993
0.914095079232694,NA,AL,1081,115344
1,NA,AL,1083,67249
0.9413793103448276,NA,AL,1085,8098
0.8762886597938144,NA,AL,1087,16035
0.9106760179232418,NA,AL,1089,261509
0.8466183574879227,NA,AL,1091,15308
0.9323144104803494,NA,AL,1093,23725
0.8974776240846216,NA,AL,1095,65923
0.8772714565278166,NA,AL,1097,308976
0.8739495798319328,NA,AL,1099,16822
0.8979138925876609,NA,AL,1101,168748
0.8729488982653539,NA,AL,1103,88063
0.8329519450800915,NA,AL,1105,7624
0.8588516746411483,NA,AL,1107,15583
0.9163179916317992,NA,AL,1109,25631
0.9298831385642737,NA,AL,1111,17374
0.9373134328358209,NA,AL,1113,43133
0.9240331491712708,NA,AL,1115,65813
0.9134914929307453,NA,AL,1117,149211
0.9278350515463918,NA,AL,1119,10389
0.9050632911392406,NA,AL,1121,62159
0.853585657370518,NA,AL,1123,31944
0.8833487226839027,NA,AL,1125,155402
0.9295454545454546,NA,AL,1127,50326
0.9183098591549296,NA,AL,1129,12863
0.8387650085763293,NA,AL,1131,8521
0.5769230769230769,NA,AL,1133,18770
0.6980049481497078,0.04110105580693816,AZ,4001,50380
0.783833421336578,0.015464370441964678,AZ,4003,92913
0.8004226993501491,0.00747723515040841,AZ,4005,104266
0.8350383631713555,0.0018847920838732477,AZ,4007,41289
0.7637787567302986,0.0029479620610099976,AZ,4009,25961
0.7972555746140652,0.006024096385542169,AZ,4011,6356
0.7421782178217822,0.00720384204909285,AZ,4012,15243
0.8157009438499655,0.003309780052034831,AZ,4013,2723563
0.8194957443391682,0.003429355281207133,AZ,4015,157932
0.7447959350926078,0.0037411971830985913,AZ,4017,76282
0.8419569256535734,0.0027040719593954066,AZ,4019,720406
0.7412769298719144,0.009125013792342491,AZ,4021,278220
0.7035693463755911,0.0343430623331185,AZ,4023,27153
0.8802413131927231,0.02704253487902583,AZ,4025,173099
0.7774064529983358,0.004920325259396095,AZ,4027,120512
0.8533333333333334,0.0234375,AR,5001,14105
0.8879668049792531,0.02336448598130841,AR,5003,15712
0.8728179551122195,0.06714285714285714,AR,5005,33484
0.8794411177644711,0.07807535179300953,AR,5007,162103
0.9454887218045113,0.05964214711729622,AR,5009,28883
0.9739130434782609,0.09821428571428571,AR,5011,7936
1,NA,AR,5013,4181
0.9166666666666666,0.051515151515151514,AR,5015,20187
1,0.014084507042253521,AR,5017,8451
0.8917378917378918,0.006389776357827476,AR,5019,17946
1,0.05084745762711865,AR,5021,11942
0.9375,0.06111111111111111,AR,5023,20351
1,NA,AR,5025,6379
0.9370860927152318,0,AR,5027,18517
0.8756476683937824,0.09171597633136094,AR,5029,15889
0.9179431072210066,0.073897497020262215,AR,5031,74820
0.9023904382470119,0.0640176600441501,AR,5033,45049
0.7260083449235049,0.3773946360153257,AR,5035,35098
0.9323843416370107,0.1717557251908397,AR,5037,13031
1,0.06382978723404255,AR,5039,5863
1,NA,AR,5041,8901
NA,NA,AR,5043,14378
0.8969162995594714,0.0825147347740668,AR,5045,89723
1,0.02976190476190476,AR,5047,13541
0.9515151515151515,0.03184713375796178,AR,5049,9641
0.9972356599861782,0.03257103257103257,AR,5051,75219
NA,NA,AR,5053,13727
0.7791164658634538,0.4845360824742268,AR,5055,32795
0.9624277456647399,0.015015015015015015,AR,5057,15121
1,0.07553956834532374,AR,5059,26092
1,0.09027777777777778,AR,5061,9404
NA,NA,AR,5063,27652
0.9230769230769231,0.009259259259259259,AR,5065,10833
NA,NA,AR,5067,13884
NA,NA,AR,5069,54905
0.9537953795379538,0.03460207612456748,AR,5071,18198
0.8601694915254238,0.019704433497536946,AR,5073,5632
0.8933333333333333,NA,AR,5075,13079
0.9292452830188679,0.07106598984771574,AR,5077,7834
0.9324324324324325,0.09420289855072464,AR,5079,11171
0.9364161849710982,0.018518518518518517,AR,5081,9742
0.9620253164556962,0.05263157894736842,AR,5083,16797
NA,NA,AR,5085,51700
0.9675324675324676,0.11409395973154363,AR,5087,11802
1,0.13333333333333333,AR,5089,13449
0.9028571428571428,0.0189873417721519,AR,5091,32845
0.8604651162790697,0.0171990171990172,AR,5093,31765
NA,NA,AR,5095,5908
0.9308176100628931,0.04054054054054054,AR,5097,7142
1,NA,AR,5099,6669
NA,NA,AR,5101,6366
0.906896551724138,0.034220532319391636,AR,5103,18912
NA,NA,AR,5105,7980
0.9186295503211992,0.04895104895104895,AR,5107,14487
1,0.07518796992481203,AR,5109,8133
0.927461139896373,0.05027932960893855,AR,5111,18204
0.9380053908355795,0.05747126436781609,AR,5113,15018
0.8941908713692946,0.03248259860788863,AR,5115,46646
0.9294117647058824,0.05063291139240506,AR,5117,6605
0.9712643678160919,0.041875284478834776,AR,5119,286890
0.9541984732824428,0.024,AR,5121,13546
NA,NA,AR,5123,20328
0.9396135265700483,0.02442159383033419,AR,5125,86487
0.8790322580645161,NA,AR,5127,7845
1,0.12658227848101267,AR,5129,6328
0.8766129032258064,0.031278748850046,AR,5131,89029
0.9661016949152542,0.02631578947368421,AR,5133,10065
0.8944591029023746,NA,AR,5135,13361
1,0.020833333333333332,AR,5137,9983
0.9196078431372549,0.04904051172707889,AR,5139,30046
0.9424778761061947,0.004694835680751174,AR,5141,13356
0.8841430859583556,0.04830917874396135,AR,5143,147315
0.8437900128040973,0.04400606980273141,AR,5145,58925
0.9824561403508771,0.03571428571428571,AR,5147,5335
1,0.0736196319018405,AR,5149,14672
0.7589118501501793,0.004436529439270109,CA,6001,1040380
0.8682385575589459,0.007987220447284345,CA,6003,894
0.8153200419727177,0.002010939510939511,CA,6005,30238
0.7772602678670916,0.009475887378863467,CA,6007,170635
0.8186488320248134,0.0034335780251006395,CA,6009,35474
0.785369476420349,0.005437352245862884,CA,6011,12229
0.7601653576262516,0.00406014553416189,CA,6013,730753
0.721133901820696,0.01933525087887504,CA,6015,21065
0.8797756955936804,NA,CA,6017,136940
0.6390726124704025,0.011349812586065296,CA,6019,566161
0.7980598727443413,0.003528950463991635,CA,6021,16830
0.7011444011761901,0.004250495891187305,CA,6023,105072
0.7205424225765072,0.020382211887807006,CA,6025,99250
0.740639400921659,0.004472097997277854,CA,6027,13695
0.600460319909479,0.008230012063070587,CA,6029,504213
0.6754966887417219,0.0020195344055225087,CA,6031,91832
0.74935253061762,0.008728252592115283,CA,6033,48022
0.6117321016166282,0.0019631531259438235,CA,6035,25266
0.5379588635081233,0.010726999068256205,CA,6037,6123488
