FIPSCode,State,transmitted,counted,rejected
200000000,AK,31817,26750,876
100100000,AL,1290,1297,NA
100300000,AL,5317,4568,NA
100500000,AL,652,683,NA
100700000,AL,244,241,NA
100900000,AL,810,753,NA
101100000,AL,341,323,NA
101300000,AL,563,242,NA
101500000,AL,1615,1401,NA
101700000,AL,605,537,NA
101900000,AL,469,449,NA
102100000,AL,1012,913,NA
102300000,AL,438,378,NA
102500000,AL,776,638,NA
102700000,AL,407,358,NA
102900000,AL,338,262,NA
103100000,AL,929,1114,NA
103300000,AL,1188,945,NA
103500000,AL,365,324,NA
103700000,AL,179,170,NA
103900000,AL,829,732,NA
104100000,AL,226,206,NA
104300000,AL,1389,1316,NA
104500000,AL,844,828,NA
104700000,AL,972,857,NA
104900000,AL,1104,935,NA
105100000,AL,1518,1384,NA
105300000,AL,672,560,NA
105500000,AL,1688,1556,NA
105700000,AL,283,243,NA
105900000,AL,585,973,NA
106100000,AL,412,382,NA
106300000,AL,296,250,NA
106500000,AL,426,271,NA
106700000,AL,497,435,NA
106900000,AL,2238,3075,NA
107100000,AL,829,771,NA
107300000,AL,13112,10479,NA
107500000,AL,360,343,NA
107700000,AL,2055,2027,NA
107900000,AL,475,442,NA
108100000,AL,3597,3094,NA
108300000,AL,2094,2041,NA
108500000,AL,290,250,NA
108700000,AL,485,452,NA
108900000,AL,10266,9326,NA
109100000,AL,828,736,NA
109300000,AL,458,438,NA
109500000,AL,1229,1150,NA
109700000,AL,7154,5719,NA
109900000,AL,476,360,NA
110100000,AL,4506,3971,NA
110300000,AL,2133,1904,NA
110500000,AL,437,299,NA
110700000,AL,418,327,NA
110900000,AL,478,417,NA
111100000,AL,599,534,NA
111300000,AL,1005,926,NA
111500000,AL,1448,1337,NA
111700000,AL,4173,3832,NA
111900000,AL,485,414,NA
112100000,AL,1106,1049,NA
112300000,AL,1004,835,NA
112500000,AL,3249,2853,NA
112700000,AL,880,576,NA
112900000,AL,355,335,NA
113100000,AL,583,345,NA
113300000,AL,390,372,NA
500100000,AR,150,NA,NA
500300000,AR,241,NA,NA
500500000,AR,802,653,47
500700000,AR,2505,2031,172
500900000,AR,532,473,30
501100000,AR,115,101,11
501300000,AR,85,85,NA
501500000,AR,360,313,17
501700000,AR,355,350,5
501900000,AR,351,311,2
502100000,AR,118,112,6
502300000,AR,384,338,22
502500000,AR,46,46,NA
502700000,AR,302,283,NA
502900000,AR,386,307,31
503100000,AR,914,777,62
503300000,AR,502,424,29
503500000,AR,719,NA,NA
503700000,AR,281,217,45
503900000,AR,47,44,3
504100000,AR,125,125,NA
504300000,AR,NA,NA,NA
504500000,AR,1135,934,84
504700000,AR,168,163,5
504900000,AR,165,152,NA
505100000,AR,1447,1396,47
505300000,AR,0,87,NA
505500000,AR,249,100,94
505700000,AR,346,328,5
505900000,AR,278,257,21
506100000,AR,144,131,13
506300000,AR,NA,301,NA
506500000,AR,234,214,2
506700000,AR,0,NA,NA
506900000,AR,0,NA,NA
507100000,AR,303,279,10
507300000,AR,236,199,4
507500000,AR,150,134,NA
507700000,AR,212,183,14
507900000,AR,148,125,13
508100000,AR,173,159,3
508300000,AR,158,144,8
508500000,AR,NA,NA,NA
508700000,AR,154,132,17
508900000,AR,360,312,48
509100000,AR,350,310,6
509300000,AR,473,400,7
509500000,AR,0,0,NA
509700000,AR,159,142,6
509900000,AR,132,132,NA
510100000,AR,NA,NA,NA
510300000,AR,290,254,9
510500000,AR,NA,82,NA
510700000,AR,467,408,21
510900000,AR,133,123,10
511100000,AR,193,170,9
511300000,AR,371,328,20
511500000,AR,482,417,14
511700000,AR,85,75,4
511900000,AR,4524,4210,184
512100000,AR,262,244,6
512300000,AR,NA,NA,NA
512500000,AR,828,759,19
512700000,AR,124,109,NA
512900000,AR,158,138,20
513100000,AR,1240,1053,34
513300000,AR,118,111,3
513500000,AR,379,333,NA
513700000,AR,144,141,3
513900000,AR,510,446,23
514100000,AR,226,212,1
514300000,AR,1873,NA,NA
514500000,AR,781,630,29
514700000,AR,57,54,2
514900000,AR,163,151,12
400100000,AZ,18997,12715,545
400300000,AZ,43559,33615,NA
400500000,AZ,50627,40220,NA
400700000,AZ,20332,16946,NA
400900000,AZ,10215,7779,23
401100000,AZ,2915,2310,14
401200000,AZ,5050,3721,NA
401300000,AZ,1532341,1245795,4137
401500000,AZ,62270,50855,175
401700000,AZ,30505,22634,86
401900000,AZ,382130,308426,870
402100000,AZ,122262,89803,NA
402300000,AZ,15437,10488,373
402500000,AZ,106915,91566,2545
402700000,AZ,74508,42369,15554
600100000,CA,588963,444988,NA
600300000,CA,721,621,5
600500000,CA,15248,12407,25
600700000,CA,89746,69095,661
600900000,CA,20634,16834,58
601100000,CA,5386,4207,23
601300000,CA,408569,309319,1261
601500000,CA,8678,6137,121
601700000,CA,83993,73895,NA
601900000,CA,253400,160103,1838
602100000,CA,9587,7624,27
602300000,CA,50332,35140,150
602500000,CA,38199,26963,561
602700000,CA,6944,5120,23
602900000,CA,233316,138944,1153
603100000,CA,40317,27179,55
603300000,CA,22781,16922,149
603500000,CA,10825,6609,13
603700000,CA,2412019,1283648,13919
603900000,CA,38495,28975,143
604100000,CA,118942,100442,1048
604300000,CA,7704,6534,47
604500000,CA,41622,32694,NA
604700000,CA,67800,38302,296
604900000,CA,3762,2782,34
605100000,CA,4089,3347,22
605300000,CA,136722,102596,NA
605500000,CA,71288,58725,NA
605700000,CA,53407,44257,25
605900000,CA,1009502,722604,2831
606100000,CA,163360,132165,633
606300000,CA,11932,10044,1
606500000,CA,722448,504555,6527
606700000,CA,511585,372597,1957
606900000,CA,20954,15986,104
607100000,CA,561169,385556,1906
607300000,CA,1106173,856937,3755
607500000,CA,266090,263091,2175
607700000,CA,241984,152794,1063
607900000,CA,125959,98691,1177
608100000,CA,270495,218289,NA
608300000,CA,155017,120612,NA
608500000,CA,694904,534217,3765
608700000,CA,101637,83021,319
608900000,CA,72116,56967,232
609100000,CA,2315,1902,7
609300000,CA,18951,15416,64
609500000,CA,156471,112862,323
609700000,CA,212518,180716,886
609900000,CA,169918,125084,1124
610100000,CA,32176,25306,265
610300000,CA,21542,17052,90
610500000,CA,5924,4388,27
610700000,CA,115609,75105,698
610900000,CA,25601,20519,NA
611100000,CA,283777,218696,1064
611300000,CA,72563,48894,88
611500000,CA,22088,15208,436
800100000,CO,246419,NA,NA
800300000,CO,9158,NA,NA
800500000,CO,372011,NA,NA
800700000,CO,9152,NA,NA
800900000,CO,2599,NA,NA
801100000,CO,2557,NA,NA
801300000,CO,220273,NA,NA
801400000,CO,44074,NA,NA
801500000,CO,13360,NA,NA
801700000,CO,1286,NA,NA
801900000,CO,7239,NA,NA
802100000,CO,5196,NA,NA
802300000,CO,2633,NA,NA
802500000,CO,1960,NA,NA
802700000,CO,3547,NA,NA
802900000,CO,19925,NA,NA
803100000,CO,420179,NA,NA
803300000,CO,1491,NA,NA
803500000,CO,217311,NA,NA
803700000,CO,32574,NA,NA
803900000,CO,18498,NA,NA
804100000,CO,395270,NA,NA
804300000,CO,27408,NA,NA
804500000,CO,33941,NA,NA
804700000,CO,4276,NA,NA
804900000,CO,10793,NA,NA
805100000,CO,11949,NA,NA
805300000,CO,713,NA,NA
805500000,CO,4595,NA,NA
805700000,CO,1021,NA,NA
805900000,CO,393642,NA,NA
806100000,CO,971,NA,NA
806300000,CO,4438,NA,NA
806500000,CO,4105,NA,NA
806700000,CO,37726,NA,NA
806900000,CO,234289,NA,NA
807100000,CO,8456,NA,NA
807300000,CO,2794,NA,NA
