"","State","missing_C4a_per","missing_C4b_per"
"1","AK",0,0
"2","AL",0,1
"3","AR",0.0666666666666667,0.213333333333333
"4","AZ",0,0
"5","CA",0,0.0344827586206897
"6","CO",0,0
"7","CT",0,0
"8","DC",0,0
"9","DE",0,0
"10","FL",0,0
"11","GA",0,0
"12","GU",0,0
"13","HI",0.2,0.2
"14","IA",0,0
"15","ID",0,0
"16","IL",0.00909090909090909,0.00909090909090909
"17","IN",0,0
"18","KS",0,0
"19","KY",0,0
"20","LA",0,0
"21","MA",0,0
"22","MD",0,0
"23","ME",0.00399201596806387,0.00399201596806387
"24","MI",0,0
"25","MN",0,0
"26","MO",0,0
"27","MS",0,0
"28","MT",0,0
"29","NC",0,0
"30","ND",0,0
"31","NE",0,0
"32","NH",0,0
"33","NJ",0,0
"34","NM",0.333333333333333,0.484848484848485
"35","NV",0,0
"36","NY",0,0
"37","OH",0,0
"38","OK",0,0
"39","OR",0,0
"40","PA",0,0
"41","PR",0,0
"42","RI",0,0
"43","SC",0,0
"44","SD",0,0
"45","TN",0,0
"46","TX",0.208661417322835,0.244094488188976
"47","UT",0,0
"48","VA",0,0
"49","VI",0,1
"50","VT",1,1
"51","WA",0,0
"52","WI",0,0
"53","WV",0,0
"54","WY",0,0
