"","State","C4a_ge_per"
"1","AK",0
"2","AL",NA
"3","AR",NA
"4","AZ",NA
"5","CA",NA
"6","CO",NA
"7","CT",NA
"8","DC",0
"9","DE",0
"10","FL",NA
"11","GA",0
"12","GU",NA
"13","HI",NA
"14","IA",NA
"15","ID",1
"16","IL",NA
"17","IN",0
"18","KS",0
"19","KY",0
"20","LA",0
"21","MA",NA
"22","MD",0
"23","ME",NA
"24","MI",NA
"25","MN",0.67816091954023
"26","MO",NA
"27","MS",NA
"28","MT",NA
"29","NC",0
"30","ND",0.830188679245283
"31","NE",NA
"32","NH",0.38125
"33","NJ",NA
"34","NM",NA
"35","NV",0
"36","NY",NA
"37","OH",0
"38","OK",0
"39","OR",NA
"40","PA",NA
"41","PR",0
"42","RI",NA
"43","SC",NA
"44","SD",0.878787878787879
"45","TN",0
"46","TX",NA
"47","UT",NA
"48","VA",NA
"49","VI",0
"50","VT",NA
"51","WA",1
"52","WI",0.120280474649407
"53","WV",0
"54","WY",1
