"","State","returned_gt_counted_rejected_per","returned_lt_counted_rejected_per","returned_neq_counted_rejected_per"
"1","AK",0,0,0
"2","AL",NA,NA,NA
"3","AR",NA,NA,NA
"4","AZ",0.133333333333333,0,0.133333333333333
"5","CA",NA,NA,NA
"6","CO",0,0,0
"7","CT",0,0,0
"8","DC",0,0,0
"9","DE",0,0,0
"10","FL",0.0149253731343284,0.0447761194029851,0.0597014925373134
"11","GA",0,0,0
"12","HI",NA,NA,NA
"13","IA",0,0,0
"14","ID",0,0,0
"15","IL",NA,NA,NA
"16","IN",0.989130434782609,0,0.989130434782609
"17","KS",0.104761904761905,0.333333333333333,0.438095238095238
"18","KY",0,0,0
"19","LA",0,0,0
"20","MA",0,0,0
"21","MD",0,0,0
"22","ME",NA,NA,NA
"23","MI",0.0240963855421687,0,0.0240963855421687
"24","MN",0,0,0
"25","MO",0.00862068965517241,0,0.00862068965517241
"26","MS",0,0,0
"27","MT",0,0,0
"28","NC",0,0,0
"29","ND",0.0188679245283019,0,0.0188679245283019
"30","NE",0.526881720430108,0,0.526881720430108
"31","NH",0,0,0
"32","NJ",0.857142857142857,0,0.857142857142857
"33","NM",NA,NA,NA
"34","NV",0,0,0
"35","NY",0.564516129032258,0,0.564516129032258
"36","OH",0.0113636363636364,0,0.0113636363636364
"37","OK",0.727272727272727,0,0.727272727272727
"38","OR",0,0,0
"39","PA",0.537313432835821,0,0.537313432835821
"40","RI",0.0256410256410256,0,0.0256410256410256
"41","SC",0,0,0
"42","SD",0,0,0
"43","TN",0,0,0
"44","TX",NA,NA,NA
"45","UT",0,0,0
"46","VA",0,0,0
"47","VT",NA,NA,NA
"48","WA",0.0512820512820513,0,0.0512820512820513
"49","WI",0.18554476806904,0,0.18554476806904
"50","WV",0,1,1
"51","WY",0.173913043478261,0,0.173913043478261
