"","C4b_by_state_pop_weighted","State"
"1",0,"AL"
"2",0.885263347580928,"AR"
"3",1,"AZ"
"4",0.991915827628181,"CA"
"5",1,"CO"
"6",1,"CT"
"7",1,"DC"
"8",1,"DE"
"9",1,"FL"
"10",1,"GA"
"11",0.999911594702437,"HI"
"12",1,"IA"
"13",1,"ID"
"14",0.998760259647544,"IL"
"15",1,"IN"
"16",1,"KS"
"17",1,"KY"
"18",1,"LA"
"19",1,"MA"
"20",1,"MD"
"21",0.998408223265263,"ME"
"22",1,"MI"
"23",1,"MN"
"24",1,"MO"
"25",1,"MS"
"26",1,"MT"
"27",1,"NC"
"28",1,"ND"
"29",1,"NE"
"30",1,"NH"
"31",1,"NJ"
"32",0.68884015677747,"NM"
"33",1,"NV"
"34",1,"NY"
"35",1,"OH"
"36",1,"OK"
"37",1,"OR"
"38",1,"PA"
"39",1,"RI"
"40",1,"SC"
"41",0,"SD"
"42",1,"TN"
"43",0.927081762127391,"TX"
"44",1,"UT"
"45",1,"VA"
"46",0,"VT"
"47",1,"WA"
"48",1,"WV"
"49",1,"WY"
