"","State","sim_mean","FIPSCode_sum_mean","voters_white_sum_mean","voters_black_sum_mean","voters_hispanic_sum_mean","voters_asian_sum_mean","voters_other_sum_mean","n_requested_sum_mean","n_requested_white_sum_mean","n_requested_black_sum_mean","n_requested_hispanic_sum_mean","n_requested_asian_sum_mean","n_requested_other_sum_mean","n_submitted_sum_mean","n_submitted_white_sum_mean","n_submitted_black_sum_mean","n_submitted_hispanic_sum_mean","n_submitted_asian_sum_mean","n_submitted_other_sum_mean","n_rejected_sum_mean","n_rejected_white_sum_mean","n_rejected_black_sum_mean","n_rejected_hispanic_sum_mean","n_rejected_asian_sum_mean","n_rejected_other_sum_mean","sim_sd","FIPSCode_sum_sd","voters_white_sum_sd","voters_black_sum_sd","voters_hispanic_sum_sd","voters_asian_sum_sd","voters_other_sum_sd","n_requested_sum_sd","n_requested_white_sum_sd","n_requested_black_sum_sd","n_requested_hispanic_sum_sd","n_requested_asian_sum_sd","n_requested_other_sum_sd","n_submitted_sum_sd","n_submitted_white_sum_sd","n_submitted_black_sum_sd","n_submitted_hispanic_sum_sd","n_submitted_asian_sum_sd","n_submitted_other_sum_sd","n_rejected_sum_sd","n_rejected_white_sum_sd","n_rejected_black_sum_sd","n_rejected_hispanic_sum_sd","n_rejected_asian_sum_sd","n_rejected_other_sum_sd"
"1","AR",10.5,294306,741367,141259,63675,13430,30209,697153.85,525863.1,76923.95,50929.5,13257.6,30179.7,661052.65,510641.85,67607,47553.7,11598.4,23651.7,18083.9,3939,2829.55,3304,204.8,7806.55,5.91607978309962,0,0,0,0,0,0,1426.1220245643,46034.4173371231,31802.9051908205,19554.9080916706,541.44848615348,66.683936359674,6449.94166660688,47155.4025015329,30518.098474943,20346.9827560178,541.462386310881,2116.44170347556,3233.41673450042,2234.10252792103,2244.75729493366,1776.76133515598,138.117646267688,2301.91095614057
"2","AZ",10.5,56181,1689995,93648,632935,74466,160241,2228255.1,1562501.75,13848.9,540093.15,29573,82238.3,1797753.55,1342172.9,11907.55,366323.4,25760.8,51588.9,41351.2,10254.45,555.3,23373.85,522.75,6644.85,5.91607978309962,0,0,0,0,0,0,59638.5384814216,76844.2269494627,6569.83550142539,53648.8225379939,14449.4574074053,8850.58547037545,52542.0950110981,59456.0679244945,6436.69842204183,41778.9998877552,12838.8795157931,9094.72527810546,16688.8537451293,3660.11726120755,320.288702004268,13923.4576818555,481.99103234724,4071.44017290921
"3","CA",10.5,290842,6452830,674500,4528752,1922002,540671,11819189.15,5962031.45,92813.85,4158956.95,1455324.75,150062.15,8821468.1,4949156.2,73002.45,2456448.1,1234802.35,108059,165859.4,36449.55,2547.3,82952.2,23615.35,20295,5.91607978309962,0,0,0,0,0,0,204841.003169281,139866.74056908,44356.8466361466,152393.261835595,239444.852323227,94872.5236965649,173639.518701033,128550.912045977,33134.2385654651,149855.484567422,229145.531312647,66495.6187373511,49400.9198799929,13876.4528285377,1330.15302245941,46962.8598649479,17887.8468366095,17280.5777254789
"4","CO",10.5,515983,2150755,118456,489378,43527,81936,2884052,2150755,118456,489378,43527,81936,2292662.5,1752593.1,99682,340280.55,37318.8,62788.05,38256.25,10775.65,3726.9,11503.05,696.75,11553.9,5.91607978309962,0,0,0,0,0,0,0,0,0,0,0,0,21057.062654406,23734.8465428055,7163.25579460537,24804.1398740635,1868.00889212354,9070.56559180645,9074.15460974624,2923.87891741163,1565.82895147048,8284.32672025281,643.95046189006,5089.49640668742
"5","DE",10.5,30009,302360,88450,32228,14114,11056,316520.85,191807.65,74957.25,26300,13237.4,10218.55,284517.7,180810.1,62428.45,22139.2,11499.7,7640.25,6415.2,1174.55,2642.2,1407.65,207.4,983.4,5.91607978309962,0,0,0,0,0,0,2869.46912887714,25366.8699794686,16829.591629267,9632.41404950247,2673.11545815582,1743.53169940845,9341.20554092965,25201.7983107305,15057.3788642156,8710.35387280412,2388.94768949801,1764.85084728367,1153.28654402606,373.856498644797,1099.96203762245,633.765461765089,177.519872868245,837.439040986519
"6","FL",10.5,808550,5853123,1261789,2109642,177751,211202,7016901.2,4508399.35,328625.75,1916133.1,152009.85,111733.15,5674812.85,3824486.1,262516.35,1374979.15,129013.3,83817.95,102936.65,25630.85,9630.5,51375.75,2324,13975.55,5.91607978309962,0,0,0,0,0,0,54459.1822092956,111111.607370472,118545.611715214,61181.1776291919,41936.3000567527,56585.3296575181,54587.2372390962,120377.863470298,101401.699670835,105415.902256516,36093.3327625098,47337.5302442887,25316.1765348707,12821.6432491274,6532.53888340191,23584.0330885895,1965.7479626421,8254.84337238639
"7","GA",10.5,2092677,2368343,1292392,309758,87453,88818,2932009.85,1424593.45,1133281.65,204189.5,81694.5,88250.75,2691043.25,1386848.05,985446.95,178359.05,71044.6,69344.6,116692.7,11515.95,65299.75,15915.95,1321.4,22639.65,5.91607978309962,0,0,0,0,0,0,5945.95469095099,84251.7090143546,66181.9185278649,87430.7765645726,12389.486623322,1119.7641610249,24217.0273652217,79163.0782070019,64904.7640887664,82109.555380521,10700.3998420128,6387.30087463851,10273.8495173554,5226.24205811403,10559.480229807,11489.8299445755,1349.32132648427,5163.10111091958
"8","IA",10.5,1890801,1400011,50907,69134,29622,31444,1213368.1,1097775.4,20372.1,49616.1,27259.6,18344.9,1179207.7,1083571.9,17592.2,41888.75,23748.15,12406.7,13951.7,7401.9,706.35,2883.25,449.1,2511.1,5.91607978309962,0,0,0,0,0,0,13608.8237548097,14788.405865478,6565.67330815916,11064.1192238696,2799.97293971886,8292.39314641659,14639.1134082275,15211.0190111608,6122.28906795317,10551.7038727601,3225.68310635617,5835.96147402601,3096.23460793403,3046.47590884253,318.444289930709,1837.65321953386,347.574740163896,1673.30083179451
"9","ID",10.5,705936,619106,4379,57820,7860,21220,526543.2,476871,1851,29915.9,6257.45,11647.85,513488.55,469722,1537.35,27159.65,5499.6,9569.95,6374.8,3582.9,68.7,1142.4,114.35,1466.45,5.91607978309962,0,0,0,0,0,0,6602.60476988956,12436.9934554347,667.082098632387,12820.4849768683,1620.99753157382,5688.14059226461,7607.01659117561,13004.1852008052,602.80853860121,12657.8533279167,1424.73973246455,4792.57796219156,1212.92671709903,1108.42291472828,35.5470037230174,610.772366934299,117.97469621647,872.986071812688
"10","IL",10.5,1693077,3003655,450017,491043,171010,79587,2961978.1,2013628.1,394425.05,311862.1,170683.6,71379.25,2666603.05,1886634.6,317177.8,261928.65,146007.6,54854.4,50013.45,12899.15,12598.6,14876.75,2325.1,7313.85,5.91607978309962,0,0,0,0,0,0,9395.84347016219,134682.139918167,49614.5143846934,172419.765326521,1228.53757306037,18379.4451461838,37585.7184530101,125639.09476014,52987.9679108976,159930.53592412,5547.74149779131,15929.3570042366,11512.1211748633,5095.30065509283,4692.51913491879,12788.5828887579,1618.67619400936,4193.75395552406
