"","State","sim_mean","FIPSCode_sum_sum_mean","voters_white_sum_sum_mean","voters_black_sum_sum_mean","voters_hispanic_sum_sum_mean","voters_asian_sum_sum_mean","voters_other_sum_sum_mean","n_requested_sum_sum_mean","n_requested_white_sum_sum_mean","n_requested_black_sum_sum_mean","n_requested_hispanic_sum_sum_mean","n_requested_asian_sum_sum_mean","n_requested_other_sum_sum_mean","n_submitted_sum_sum_mean","n_submitted_white_sum_sum_mean","n_submitted_black_sum_sum_mean","n_submitted_hispanic_sum_sum_mean","n_submitted_asian_sum_sum_mean","n_submitted_other_sum_sum_mean","n_rejected_sum_sum_mean","n_rejected_white_sum_sum_mean","n_rejected_black_sum_sum_mean","n_rejected_hispanic_sum_sum_mean","n_rejected_asian_sum_sum_mean","n_rejected_other_sum_sum_mean","sim_sd","FIPSCode_sum_sum_sd","voters_white_sum_sum_sd","voters_black_sum_sum_sd","voters_hispanic_sum_sum_sd","voters_asian_sum_sum_sd","voters_other_sum_sum_sd","n_requested_sum_sum_sd","n_requested_white_sum_sum_sd","n_requested_black_sum_sum_sd","n_requested_hispanic_sum_sum_sd","n_requested_asian_sum_sum_sd","n_requested_other_sum_sum_sd","n_submitted_sum_sum_sd","n_submitted_white_sum_sum_sd","n_submitted_black_sum_sum_sd","n_submitted_hispanic_sum_sum_sd","n_submitted_asian_sum_sum_sd","n_submitted_other_sum_sum_sd","n_rejected_sum_sum_sd","n_rejected_white_sum_sum_sd","n_rejected_black_sum_sum_sd","n_rejected_hispanic_sum_sum_sd","n_rejected_asian_sum_sum_sd","n_rejected_other_sum_sum_sd"
"1","AR",10.5,294306,741367,141259,63675,13430,30209,697034.8,511875.85,83626.55,57943.85,13394.8,30193.75,660015.6,497557.65,72334.45,54932,11668.45,23523.05,19773.5,4186.55,3919.95,3210.5,191.8,8264.7,5.91607978309962,0,0,0,0,0,0,1728.00626217189,30251.1463502233,28311.2897649553,11640.2682925989,124.936868268064,32.7588879060646,9297.49178061085,32670.3724936073,27538.3586493936,11782.9853513222,671.455487022507,2041.60374203068,4276.78767177816,1284.86212551345,2478.94825905113,2021.72632069464,207.272665575413,2443.09053842615
"2","AZ",10.5,56181,1689995,93648,632935,74466,160241,2232268.8,1535223.5,10463.5,564469.15,33369.6,88743.05,1797690,1316367.05,8668.55,389687.7,28828.25,54138.45,34592.8,8455.5,442.8,20335.5,551.6,4807.4,5.91607978309962,0,0,0,0,0,0,64873.2088101576,70946.6924910602,5387.71823101785,37027.4320858341,17527.0035100728,9599.19238639651,72065.5057386571,70704.1226576417,4247.62329178888,37405.4679947366,15741.6330720899,8215.60163716123,12424.1745531168,3609.5077299587,331.816626593983,11543.3139522409,609.21359144392,2764.58923188466
"3","CA",10.5,290842,6452830,674500,4528752,1922002,540671,11831826.25,5965163.85,86073.8,4180283.25,1385930.8,214374.55,8814574.7,4971123.1,72300.5,2455388.45,1179950.9,135811.75,173539.95,30854.1,3515.7,95863,20125.95,23181.2,5.91607978309962,0,0,0,0,0,0,193648.889198677,176976.378924978,48732.8947109164,177937.730326585,203914.307006541,79736.1130337704,176200.764647991,169410.645898905,39406.9134964385,193141.475520836,176602.907232105,51719.1826388328,51068.049348497,17846.5869091337,3001.68864930532,46172.9377939753,16030.2074303649,16546.6212216462
"4","CO",10.5,515983,2150755,118456,489378,43527,81936,2884052,2150755,118456,489378,43527,81936,2288917.65,1761784.65,95564.3,338795.65,37464.6,55308.45,41536.75,12463.9,4064.6,16445.2,673.7,7889.35,5.91607978309962,0,0,0,0,0,0,0,0,0,0,0,0,16011.5361841491,24721.1795947374,9053.66157448262,16025.6826943011,1777.00106329382,10186.0785103209,10506.363569786,4600.05816782445,2371.35047910191,8945.72552204624,567.885931837501,7682.00766846929
"5","DE",10.5,30009,302360,88450,32228,14114,11056,318494.3,199810.4,66221.7,29098.25,13615.35,9748.6,283002.7,184292.95,55848.65,24043.7,11645.2,7172.2,7958,1496,3152.75,1632,212.6,1464.65,5.91607978309962,0,0,0,0,0,0,3087.78011045578,21149.0080727952,19153.820449195,5112.99301444755,1292.17744728159,2608.04460730337,10594.2802696351,19917.0699030677,18633.7611235063,6213.14672457143,1433.62468846223,2417.80515082759,2793.1551109246,467.229122199782,2430.91009327349,819.667583455892,216.077812495017,870.273657807522
"6","FL",10.5,808550,5853123,1261789,2109642,177751,211202,7060009.05,4509404.2,407416.35,1882524.6,141888.35,118775.55,5717406.1,3849605.7,318640.25,1347144.1,121662.3,80353.75,93620.05,25007.6,11574.3,43564.65,2830.4,10643.1,5.91607978309962,0,0,0,0,0,0,69957.8675403049,165076.85940689,147395.397030278,80027.6547381229,32379.3199471433,53353.3759366685,66117.9934645551,112075.410471841,109740.50670745,93525.1079994312,26868.734414988,34053.980019151,24825.8172314205,13702.453861684,6573.20255278962,18114.774639489,3770.47451153104,7037.36843683699
"7","GA",10.5,2092677,2368343,1292392,309758,87453,88818,2928204.6,1421091.25,1141131.05,194198.2,83434.45,88349.65,2689365.6,1383071.5,998695.45,167436.6,73331.55,66830.5,120581.55,10052.65,73002.55,16012.85,1497.65,20015.85,5.91607978309962,0,0,0,0,0,0,5130.4019581931,94969.8381569948,72975.8154008465,96359.6138167088,6208.07744182402,722.346416019933,15624.4039394518,84831.8696385292,70178.4351691233,87907.7618963255,6654.57316022124,8682.26357521319,13548.894406148,5478.5468326344,12634.4729441444,11536.0141263646,1750.83021735404,7107.28418984799
"8","IA",10.5,1890801,1400011,50907,69134,29622,31444,1217068.45,1103742.65,18074.4,48866.7,26605.15,19779.55,1180007.95,1085347.5,14874.95,41938.7,22960.8,14886,13113.15,6491.75,637.9,3130.25,417.4,2435.85,5.91607978309962,0,0,0,0,0,0,17931.7918101813,11494.7068059722,7128.62769993009,11438.4088795049,2513.66018042049,5194.120050849,19494.7195427377,12954.3306211516,5821.95890776328,11707.2117589297,2597.72393492943,4850.72557784698,3330.44718468857,2866.5932627791,270.311691434751,1703.97389635924,283.313737196435,1618.19894278208
"9","ID",10.5,705936,619106,4379,57820,7860,21220,518456.55,470299.1,1718.75,27337.2,6720.05,12381.45,503830.1,462462.05,1397.8,24283.55,5824.6,9862.1,6077.05,3050.35,77.2,1661.6,149.45,1138.45,5.91607978309962,0,0,0,0,0,0,7454.72081072051,15728.9436152792,893.544089272423,12070.6864698173,1407.32521491172,6603.60060058944,6883.93660250938,14226.2695168406,694.705208211216,11406.3728423378,1275.90811416398,5531.0521212895,1925.06211724795,1537.44703888245,66.8703380076933,1182.26568391729,224.344771090813,1022.59918962983
"10","IL",10.5,1693077,3003655,450017,491043,171010,79587,2964362.35,1994661.3,359233.8,382481.3,168123.65,59862.3,2676109.8,1869724.4,288495.6,328032.8,146934,42923,47672.4,13192.25,8891.75,17865.95,2080.2,5642.25,5.91607978309962,0,0,0,0,0,0,6446.0349483433,120369.53423962,72757.2412982125,123888.539727025,8130.67448665206,27243.7790892372,28260.0128703364,106723.77578117,81744.4562262562,109341.402167032,8383.83057156045,20553.3037400701,16868.3671483825,5361.93389969858,5522.19954151566,14204.8929393509,1791.76897594469,5669.60384650601
